Invoice_Date,Customer_Code,Customer_Name,Item_Code,Zone,HQ,Brand,Item_Description,QTY,AMOUNT
2022-10-10,306101,Shree Naveen Poultry Feeds,10009988,North,Ajmer,Previte ADBEC,Previte ADBEC (10 x 1 Lit),100,66000
2022-10-10,306124,Jalaram Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),275,13200
2022-10-10,306124,Jalaram Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),425,20400
2022-10-10,306124,Jalaram Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),500,24000
2022-10-10,306124,Jalaram Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),500,24000
2022-10-10,306123,Jigar Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),75,3600
2022-10-10,306123,Jigar Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),225,10800
2022-10-10,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),20,5764
2022-10-10,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),20,5764
2022-10-10,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),20,5764
2022-10-10,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),20,5764
2022-10-10,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),20,5764
2022-11-10,304987,Lotus Farms,10016091,South,Bangalore,Bromo Grane,Bromograne (12 x 1Kg),24,30110
2022-11-10,306030,Venkata Manoj Enterprises,10007549,South,KRISHNA A,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),180,47700
2022-12-10,306007,ABP Enterprises,10007549,East,24 Pargana,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),420,100800
2022-12-10,306007,ABP Enterprises,10007549,East,24 Pargana,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),80,19200
2022-12-10,305013,Vijendra Medical Hall,10015938,North,Jind,Kembio,KemBio Advance (2 x 5Kg),20,14000
2022-12-10,305013,Vijendra Medical Hall,10008886,North,Jind,Previte,Previte-Ind (5x5 Kg),200,98000
2022-12-10,305013,Vijendra Medical Hall,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),800,68000
2022-12-10,305013,Vijendra Medical Hall,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),200,17000
2022-12-10,305013,Vijendra Medical Hall,10007224,North,Jind,Poszyme,Poszyme 5000 (25 Kg) (Granules),250,22500
2022-12-10,305013,Vijendra Medical Hall,10014991,North,Jind,Premin,Premin L (25Kg),175,8400
2022-12-10,305013,Vijendra Medical Hall,10008886,North,Jind,Previte,Previte-Ind (5x5 Kg),50,24500
2022-12-10,306007,ABP Enterprises,10009988,East,24 Pargana,Previte ADBEC,Previte ADBEC (10 x 1 Lit),30,19800
2022-12-10,306007,ABP Enterprises,10015938,East,24 Pargana,Kembio,KemBio Advance (2 x 5Kg),250,175000
2022-12-10,306007,ABP Enterprises,10014150,East,24 Pargana,Bromo Grane,Bromo Grane (200gm x10),120,33000
2022-12-10,305091,RA Health Care,10008978,North,Lucknow,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,80000
2022-12-10,305091,RA Health Care,10008978,North,Lucknow,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),800,64000
2022-12-10,305091,RA Health Care,10008978,North,Lucknow,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),200,16000
2022-01-11,304037,Poshak Medicines,10014976,West,Anand,Xerotox,Xerotox Premium (5 x 5Kg),400,38000
2022-01-11,306054,Ashoka Cattle & Poultry Feeds Pvt.,10014976,East,Patna,Xerotox,Xerotox Premium (5 x 5Kg),-3525,-218550
2022-01-11,306036,Arindhas,10017283,South,KRISHNA A,Kembio,KemBio advance WS (500gx10),240,102000
2022-03-11,305045,Gomatha Enterprises,10011602,South,Bangalore,Kem Vit M,Kem Vit-M ( 25 Kg),7,19250
2022-05-11,306007,ABP Enterprises,10014153,East,24 Pargana,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),400,280000
2022-05-11,304981,Ravindra Medicose,10015568,North,Karnal,NDZ Forte,NDZ Forte (5 x 5Kg),100,26000
